ID;Ecosystem;Lat;Long;nearest_long;nearest_lat;nitratos;pH;phosphates;temperature;water.velocity;salinidade
Mg_ 1194;Mangrove;-0.67475;109.454194;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1195;Mangrove;-0.67475;109.454194;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1196;Mangrove;-0.67475;109.454194;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1197;Mangrove;-0.671222;109.443694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1198;Mangrove;-0.671222;109.443694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1199;Mangrove;-0.671222;109.443694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1200;Mangrove;-0.671222;109.443694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1201;Mangrove;-0.671222;109.443694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1202;Mangrove;-0.671222;109.443694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1224;Mangrove;11.56017376;102.9978255;102.9250035;11.5749998;0.2950816;8.04602698;0.00070277;29.24133811;29.5547427;0.043061
Mg_ 1225;Mangrove;11.560174;102.997826;102.9250035;11.5749998;0.2950816;8.04602698;0.00070277;29.24133811;29.5547427;0.043061
Mg_ 1226;Mangrove;11.560174;102.997826;102.9250035;11.5749998;0.2950816;8.04602698;0.00070277;29.24133811;29.5547427;0.043061
Mg_ 1227;Mangrove;11.560174;102.997826;102.9250035;11.5749998;0.2950816;8.04602698;0.00070277;29.24133811;29.5547427;0.043061
Mg_ 1228;Mangrove;11.557254;103.041488;102.9750035;11.47499981;0.4283614;8.04881183;0.00034037;29.22868036;29.43150391;0.02512151
Mg_ 1229;Mangrove;11.58337;103.0378;102.9250035;11.5749998;0.2950816;8.04602698;0.00070277;29.24133811;29.5547427;0.043061
Mg_ 1230;Mangrove;11.081461;100.685777;100.6750034;11.07499981;0.13799392;8.034259;0.08686447;28.85293678;28.57646767;0.04275
Mg_ 1231;Mangrove;11.55858057;103.0411301;102.9750035;11.47499981;0.4283614;8.04881183;0.00034037;29.22868036;29.43150391;0.02512151
Mg_ 1232;Mangrove;11.558581;103.04113;102.9750035;11.47499981;0.4283614;8.04881183;0.00034037;29.22868036;29.43150391;0.02512151
Mg_ 1233;Mangrove;11.558581;103.04113;102.9750035;11.47499981;0.4283614;8.04881183;0.00034037;29.22868036;29.43150391;0.02512151
Mg_ 1234;Mangrove;11.558581;103.04113;102.9750035;11.47499981;0.4283614;8.04881183;0.00034037;29.22868036;29.43150391;0.02512151
Mg_ 1235;Mangrove;11.559437;103.040739;102.9750035;11.47499981;0.4283614;8.04881183;0.00034037;29.22868036;29.43150391;0.02512151
