"","ID","Ecosystem","Av_C","SE_C","M_C","Av_Mud","SE_Mud","M_Mud","Av_13C","SE_13C","M_13C","Av_C_25","SE_C_25","M_C_25","Av_Mud_25","SE_Mud_25","M_Mud_25","Av_13C_25","SE_13C_25","M_13C_25"
"107","Mg_112","Mangrove",0.2762944042,0.0235869505599611,0.301332393,NA,NA,NA,-23.834637228,0.872880710730578,-24.67262406,0.187018182,NA,0.187018182,NA,NA,NA,-20.35764773,NA,-24.67262406
"108","Mg_113","Mangrove",0.2894057772,0.00567108937715595,0.289318295,NA,NA,NA,-25.806215714,0.321517171227477,-25.69980155,0.308714695,NA,0.308714695,NA,NA,NA,-26.94705404,NA,-25.69980155
"109","Mg_114","Mangrove",0.2386929918,0.0321182369559226,0.261634279,NA,NA,NA,-24.074855014,0.354529200656364,-23.8710587,0.119532512,NA,0.119532512,NA,NA,NA,-23.33060856,NA,-23.8710587
"110","Mg_115","Mangrove",0.2259617724,0.0246581709622057,0.226998489,NA,NA,NA,-23.015882576,0.382294243771942,-22.71448094,0.191846362,NA,0.191846362,NA,NA,NA,-23.6302726,NA,-22.71448094
"111","Mg_116","Mangrove",0.3386181682,0.0186617601845388,0.350629862,NA,NA,NA,NA,NA,NA,0.390040784,NA,0.390040784,NA,NA,NA,NA,NA,NA
"112","Mg_117","Mangrove",0.135561454142857,0.00708329372133952,0.139648579,NA,NA,NA,NA,NA,NA,0.124926609,NA,0.124926609,NA,NA,NA,NA,NA,NA
"113","Mg_118","Mangrove",0.081484453125,0.0136004271433751,0.062475904,NA,NA,NA,NA,NA,NA,0.148765386,NA,0.148765386,NA,NA,NA,NA,NA,NA
"114","Mg_119","Mangrove",0.150428360166667,0.031958929296437,0.184083622,NA,NA,NA,NA,NA,NA,0.177003519,NA,0.177003519,NA,NA,NA,NA,NA,NA
"115","Mg_120","Mangrove",0.0382702166875,0.0023082875515061,0.034345852,NA,NA,NA,NA,NA,NA,0.050762215,0.003908843,0.050762215,NA,NA,NA,NA,NA,NA
"116","Mg_121","Mangrove",0.05454,0.00541364941605937,0.0526,NA,NA,NA,NA,NA,NA,0.0375,NA,0.0375,NA,NA,NA,NA,NA,NA
"117","Mg_122","Mangrove",0.10616,0.0145728720573537,0.1152,NA,NA,NA,NA,NA,NA,0.0874,NA,0.0874,NA,NA,NA,NA,NA,NA
"118","Mg_123","Mangrove",0.03544,0.0033625288102855,0.0318,NA,NA,NA,NA,NA,NA,0.0291,NA,0.0291,NA,NA,NA,NA,NA,NA
"119","Mg_124","Mangrove",0.33008,0.00792877039647384,0.3383,NA,NA,NA,NA,NA,NA,0.3138,NA,0.3138,NA,NA,NA,NA,NA,NA
"120","Mg_125","Mangrove",0.22226,0.0542832718247528,0.2731,NA,NA,NA,NA,NA,NA,0.2731,NA,0.2731,NA,NA,NA,NA,NA,NA
"121","Mg_126","Mangrove",0.102416,0.0265242296023843,0.11619,NA,NA,NA,NA,NA,NA,0.03527,NA,0.03527,NA,NA,NA,NA,NA,NA
"122","Mg_127","Mangrove",0.0369728571428571,0.0162299710580216,0.00785,NA,NA,NA,NA,NA,NA,0.0612,NA,0.0612,NA,NA,NA,NA,NA,NA
"123","Mg_128","Mangrove",0.202655555555556,0.014220692192005,0.1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Mg_129","Mangrove",0.245785714285714,0.015475778749102,0.2328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Mg_130","Mangrove",0.0134963257,0.000538975922990176,0.013560998,58.76875956,2.99062254299191,55.4886,NA,NA,NA,0.014285591,NA,0.014285591,79.3420956,NA,55.4886,NA,NA,NA
"126","Mg_131","Mangrove",0.0133248639,0.000518863536711264,0.0131366155,NA,NA,NA,NA,NA,NA,0.014356796,NA,0.014356796,NA,NA,NA,NA,NA,NA
"127","Mg_132","Mangrove",0.0132263163,0.000572116812699704,0.013214277,NA,NA,NA,NA,NA,NA,0.013772915,NA,0.013772915,NA,NA,NA,NA,NA,NA
"128","Mg_133","Mangrove",0.011633082625,0.00188541947736315,0.010252302,57.96412616375,3.23873557862601,53.699456855,NA,NA,NA,0.013569124,NA,0.013569124,75.1220956,NA,53.699456855,NA,NA,NA
"129","Mg_134","Mangrove",0.011726361375,0.00187404723706222,0.0103519895,NA,NA,NA,NA,NA,NA,0.012956761,NA,0.012956761,NA,NA,NA,NA,NA,NA
"130","Mg_135","Mangrove",0.011439049,0.0017954957926206,0.010010205,NA,NA,NA,NA,NA,NA,0.013740016,NA,0.013740016,NA,NA,NA,NA,NA,NA
"131","Mg_136","Mangrove",0.0139605738333333,0.00105622619314925,0.0138394755,59.8402318366667,3.5967134186753,58.5335,NA,NA,NA,0.017617141,NA,0.017617141,72.56045582,NA,58.5335,NA,NA,NA
"132","Mg_137","Mangrove",0.0141115283333333,0.00104338279383579,0.014178411,NA,NA,NA,NA,NA,NA,0.017511758,NA,0.017511758,NA,NA,NA,NA,NA,NA
"133","Mg_138","Mangrove",0.0138210123333333,0.00103548736383073,0.0140758765,NA,NA,NA,NA,NA,NA,0.016964904,NA,0.016964904,NA,NA,NA,NA,NA,NA
"134","Mg_139","Mangrove",0.017681663,0.00118666677294489,0.017352666,77.128417309,2.95385741302524,80.7,NA,NA,NA,0.026649489,NA,0.026649489,86.79982631,NA,80.7,NA,NA,NA
"135","Mg_140","Mangrove",0.0176207115,0.0012449814397733,0.016728785,NA,NA,NA,NA,NA,NA,0.027056781,NA,0.027056781,NA,NA,NA,NA,NA,NA
"136","Mg_141","Mangrove",0.0177283735,0.00124808066855046,0.0172316175,NA,NA,NA,NA,NA,NA,0.027022603,NA,0.027022603,NA,NA,NA,NA,NA,NA
"137","Mg_142","Mangrove",0.0187068761111111,0.00394192689575611,0.013069258,82.6777838644445,1.14985047499477,83.2,NA,NA,NA,0.04260626,NA,0.04260626,85.3,NA,83.2,NA,NA,NA
